Name,Time (Seconds),Time (H:M:S),Messages Sent
IceCaptain,133942,37:12:22,149
WaDogKing,128221,35:37:1,580
Fozzy623,122646,34:4:6,506
ColonelJJHawkins,112573,31:16:13,238
Vercynthix,109435,30:23:55,298
DMR_Rocks,101875,28:17:55,163
Yabrevo,94559,26:15:59,160
bob_sagat8828282,86243,23:57:23,290
commanderoreo00,85526,23:45:26,42
ELVISHHAT,84474,23:27:54,50
arimeffie,75282,20:54:42,71
IonImpulse,49585,13:46:25,73
JoshuaLevin,48943,13:35:43,114
Faj1tas,41971,11:39:31,45
enderdragon684,40073,11:7:53,95
CupcakeWarlock,37588,10:26:28,28
Irron,31618,8:46:58,323
__Landon__,29796,8:16:36,37
DodgerThePuppis,25384,7:3:4,42
nochillchao,23731,6:35:31,29
Ch1cChak,21964,6:6:4,91
IzzyTaco,15446,4:17:26,4
Dragothsol,4392,1:13:12,0
jellyfishery,626,0:10:26,4
